Predicted Infected,District,Date
47.7256,Bagalakote,2020-04-18
50.1632,Bagalakote,2020-04-19
52.6811,Bagalakote,2020-04-20
55.2823,Bagalakote,2020-04-21
57.97,Bagalakote,2020-04-22
60.7476,Bagalakote,2020-04-23
63.6183,Bagalakote,2020-04-24
66.5853,Bagalakote,2020-04-25
69.6521,Bagalakote,2020-04-26
72.8222,Bagalakote,2020-04-27
76.0991,Bagalakote,2020-04-28
79.4864,Bagalakote,2020-04-29
82.61200000000002,Bagalakote,2020-04-30
85.2012,Bagalakote,2020-05-01
87.3686,Bagalakote,2020-05-02
89.2032,Bagalakote,2020-05-03
90.774,Bagalakote,2020-05-04
92.1346,Bagalakote,2020-05-05
93.3268,Bagalakote,2020-05-06
94.383,Bagalakote,2020-05-07
95.3286,Bagalakote,2020-05-08
96.1834,Bagalakote,2020-05-09
96.9629,Bagalakote,2020-05-10
97.6794,Bagalakote,2020-05-11
98.3424,Bagalakote,2020-05-12
98.9597,Bagalakote,2020-05-13
99.5374,Bagalakote,2020-05-14
100.08,Bagalakote,2020-05-15
100.59200000000001,Bagalakote,2020-05-16
101.07700000000001,Bagalakote,2020-05-17
101.536,Bagalakote,2020-05-18
101.973,Bagalakote,2020-05-19
102.38799999999999,Bagalakote,2020-05-20
102.785,Bagalakote,2020-05-21
103.163,Bagalakote,2020-05-22
103.524,Bagalakote,2020-05-23
103.869,Bagalakote,2020-05-24
104.2,Bagalakote,2020-05-25
104.516,Bagalakote,2020-05-26
105.054,Bagalakote,2020-05-27
106.01,Bagalakote,2020-05-28
107.345,Bagalakote,2020-05-29
109.035,Bagalakote,2020-05-30
111.068,Bagalakote,2020-05-31
113.44200000000001,Bagalakote,2020-06-01
116.162,Bagalakote,2020-06-02
119.244,Bagalakote,2020-06-03
122.706,Bagalakote,2020-06-04
126.57600000000001,Bagalakote,2020-06-05
130.886,Bagalakote,2020-06-06
135.672,Bagalakote,2020-06-07
140.98,Bagalakote,2020-06-08
146.859,Bagalakote,2020-06-09
153.364,Bagalakote,2020-06-10
160.559,Bagalakote,2020-06-11
168.512,Bagalakote,2020-06-12
177.303,Bagalakote,2020-06-13
187.016,Bagalakote,2020-06-14
197.748,Bagalakote,2020-06-15
209.604,Bagalakote,2020-06-16
222.7,Bagalakote,2020-06-17
237.166,Bagalakote,2020-06-18
253.144,Bagalakote,2020-06-19
270.793,Bagalakote,2020-06-20
290.286,Bagalakote,2020-06-21
311.816,Bagalakote,2020-06-22
335.596,Bagalakote,2020-06-23
361.85900000000004,Bagalakote,2020-06-24
390.866,Bagalakote,2020-06-25
422.903,Bagalakote,2020-06-26
458.286,Bagalakote,2020-06-27
497.36300000000006,Bagalakote,2020-06-28
540.5219999999998,Bagalakote,2020-06-29
588.187,Bagalakote,2020-06-30
640.828,Bagalakote,2020-07-01
698.966,Bagalakote,2020-07-02
763.171,Bagalakote,2020-07-03
833.947,Bagalakote,2020-07-04
911.8580000000001,Bagalakote,2020-07-05
997.66,Bagalakote,2020-07-06
1088.27,Bagalakote,2020-07-07
1180.84,Bagalakote,2020-07-08
1276.43,Bagalakote,2020-07-09
1375.94,Bagalakote,2020-07-10
1480.05,Bagalakote,2020-07-11
1589.41,Bagalakote,2020-07-12
1704.45,Bagalakote,2020-07-13
1825.6,Bagalakote,2020-07-14
1953.43,Bagalakote,2020-07-15
2088.48,Bagalakote,2020-07-16
2231.32,Bagalakote,2020-07-17
2382.49,Bagalakote,2020-07-18
2542.57,Bagalakote,2020-07-19
2712.14,Bagalakote,2020-07-20
2873.36,Bagalakote,2020-07-21
3027.73,Bagalakote,2020-07-22
3189.09,Bagalakote,2020-07-23
3353.92,Bagalakote,2020-07-24
3519.83,Bagalakote,2020-07-25
3685.19,Bagalakote,2020-07-26
3848.93,Bagalakote,2020-07-27
4010.33,Bagalakote,2020-07-28
4168.93,Bagalakote,2020-07-29
4324.45,Bagalakote,2020-07-30
4476.7,Bagalakote,2020-07-31
4625.6,Bagalakote,2020-08-01
4771.12,Bagalakote,2020-08-02
4913.26,Bagalakote,2020-08-03
5050.78,Bagalakote,2020-08-04
5183.08,Bagalakote,2020-08-05
5311.03,Bagalakote,2020-08-06
5435.25,Bagalakote,2020-08-07
5556.05,Bagalakote,2020-08-08
5673.67,Bagalakote,2020-08-09
5788.29,Bagalakote,2020-08-10
5899.93,Bagalakote,2020-08-11
6008.63,Bagalakote,2020-08-12
6114.51,Bagalakote,2020-08-13
6217.71,Bagalakote,2020-08-14
6322.22,Bagalakote,2020-08-15
6431.7,Bagalakote,2020-08-16
6545.97,Bagalakote,2020-08-17
6664.92,Bagalakote,2020-08-18
6788.52,Bagalakote,2020-08-19
6916.8,Bagalakote,2020-08-20
7049.81,Bagalakote,2020-08-21
7187.63,Bagalakote,2020-08-22
7330.38,Bagalakote,2020-08-23
7478.18,Bagalakote,2020-08-24
7631.18,Bagalakote,2020-08-25
7789.53,Bagalakote,2020-08-26
7953.39,Bagalakote,2020-08-27
8122.94,Bagalakote,2020-08-28
8298.37,Bagalakote,2020-08-29
8469.57,Bagalakote,2020-08-30
8628.74,Bagalakote,2020-08-31
8778.52,Bagalakote,2020-09-01
8920.85,Bagalakote,2020-09-02
9057.18,Bagalakote,2020-09-03
9188.54,Bagalakote,2020-09-04
9315.74,Bagalakote,2020-09-05
9439.34,Bagalakote,2020-09-06
9559.78,Bagalakote,2020-09-07
9677.4,Bagalakote,2020-09-08
9792.43,Bagalakote,2020-09-09
9905.06,Bagalakote,2020-09-10
10015.5,Bagalakote,2020-09-11
10123.7,Bagalakote,2020-09-12
10233.8,Bagalakote,2020-09-13
10348.0,Bagalakote,2020-09-14
10464.3,Bagalakote,2020-09-15
10581.6,Bagalakote,2020-09-16
10698.9,Bagalakote,2020-09-17
10815.5,Bagalakote,2020-09-18
10931.2,Bagalakote,2020-09-19
11045.5,Bagalakote,2020-09-20
11158.4,Bagalakote,2020-09-21
11266.2,Bagalakote,2020-09-22
11367.0,Bagalakote,2020-09-23
11462.1,Bagalakote,2020-09-24
11552.8,Bagalakote,2020-09-25
11639.8,Bagalakote,2020-09-26
11723.8,Bagalakote,2020-09-27
11805.2,Bagalakote,2020-09-28
11884.3,Bagalakote,2020-09-29
11961.5,Bagalakote,2020-09-30
12036.8,Bagalakote,2020-10-01
12110.6,Bagalakote,2020-10-02
12182.8,Bagalakote,2020-10-03
12270.2,Bagalakote,2020-10-04
12378.8,Bagalakote,2020-10-05
12498.4,Bagalakote,2020-10-06
12735.1,Bagalakote,2020-10-07
12848.2,Bagalakote,2020-10-08
12958.5,Bagalakote,2020-10-09
13066.3,Bagalakote,2020-10-10
13171.7,Bagalakote,2020-10-11
13275.0,Bagalakote,2020-10-12
13376.3,Bagalakote,2020-10-13
13475.6,Bagalakote,2020-10-14
13573.0,Bagalakote,2020-10-15
13668.5,Bagalakote,2020-10-16
13762.2,Bagalakote,2020-10-17
13854.2,Bagalakote,2020-10-18
13944.4,Bagalakote,2020-10-19
14032.9,Bagalakote,2020-10-20
14119.7,Bagalakote,2020-10-21
14204.9,Bagalakote,2020-10-22
14288.4,Bagalakote,2020-10-23
14370.4,Bagalakote,2020-10-24
14450.8,Bagalakote,2020-10-25
14529.7,Bagalakote,2020-10-26
14607.1,Bagalakote,2020-10-27
14683.1,Bagalakote,2020-10-28
14757.5,Bagalakote,2020-10-29
14830.6,Bagalakote,2020-10-30
14902.3,Bagalakote,2020-10-31
39.5938,Ballari,2020-05-08
42.851000000000006,Ballari,2020-05-09
46.6208,Ballari,2020-05-10
50.9836,Ballari,2020-05-11
56.0324,Ballari,2020-05-12
61.8749,Ballari,2020-05-13
68.63600000000001,Ballari,2020-05-14
73.5014,Ballari,2020-05-15
75.1417,Ballari,2020-05-16
75.0693,Ballari,2020-05-17
74.1402,Ballari,2020-05-18
72.8325,Ballari,2020-05-19
71.4076,Ballari,2020-05-20
70.0036,Ballari,2020-05-21
70.414,Ballari,2020-05-22
73.918,Ballari,2020-05-23
80.3108,Ballari,2020-05-24
89.8436,Ballari,2020-05-25
103.155,Ballari,2020-05-26
121.27600000000001,Ballari,2020-05-27
145.683,Ballari,2020-05-28
178.40900000000005,Ballari,2020-05-29
222.206,Ballari,2020-05-30
280.769,Ballari,2020-05-31
339.495,Ballari,2020-06-01
386.461,Ballari,2020-06-02
427.082,Ballari,2020-06-03
464.51300000000003,Ballari,2020-06-04
500.596,Ballari,2020-06-05
536.4159999999998,Ballari,2020-06-06
572.622,Ballari,2020-06-07
609.606,Ballari,2020-06-08
647.618,Ballari,2020-06-09
686.822,Ballari,2020-06-10
727.334,Ballari,2020-06-11
773.3710000000003,Ballari,2020-06-12
827.586,Ballari,2020-06-13
888.671,Ballari,2020-06-14
956.0360000000001,Ballari,2020-06-15
1029.51,Ballari,2020-06-16
1109.2,Ballari,2020-06-17
1189.88,Ballari,2020-06-18
1268.43,Ballari,2020-06-19
1347.1,Ballari,2020-06-20
1427.24,Ballari,2020-06-21
1509.67,Ballari,2020-06-22
1602.93,Ballari,2020-06-23
1712.48,Ballari,2020-06-24
1836.13,Ballari,2020-06-25
1972.98,Ballari,2020-06-26
2122.96,Ballari,2020-06-27
2277.34,Ballari,2020-06-28
2432.0,Ballari,2020-06-29
2591.96,Ballari,2020-06-30
2760.7,Ballari,2020-07-01
2940.77,Ballari,2020-07-02
3134.23,Ballari,2020-07-03
3342.61,Ballari,2020-07-04
3567.41,Ballari,2020-07-05
3810.34,Ballari,2020-07-06
4073.11,Ballari,2020-07-07
4357.49,Ballari,2020-07-08
4665.36,Ballari,2020-07-09
4963.49,Ballari,2020-07-10
5271.12,Ballari,2020-07-11
5620.39,Ballari,2020-07-12
5999.51,Ballari,2020-07-13
6402.01,Ballari,2020-07-14
6824.46,Ballari,2020-07-15
7265.12,Ballari,2020-07-16
7723.27,Ballari,2020-07-17
8198.75,Ballari,2020-07-18
8691.69,Ballari,2020-07-19
9202.47,Ballari,2020-07-20
9731.56,Ballari,2020-07-21
10279.7,Ballari,2020-07-22
10847.6,Ballari,2020-07-23
11435.9,Ballari,2020-07-24
12045.2,Ballari,2020-07-25
12676.1,Ballari,2020-07-26
13329.4,Ballari,2020-07-27
13941.9,Ballari,2020-07-28
14481.1,Ballari,2020-07-29
14976.9,Ballari,2020-07-30
15446.3,Ballari,2020-07-31
15898.9,Ballari,2020-08-01
16340.3,Ballari,2020-08-02
16773.5,Ballari,2020-08-03
17200.4,Ballari,2020-08-04
