Predicted Infected,District,Date
70.3881,Bagalakote,2020-04-18
73.7774,Bagalakote,2020-04-19
77.3577,Bagalakote,2020-04-20
81.1351,Bagalakote,2020-04-21
85.1177,Bagalakote,2020-04-22
87.9907,Bagalakote,2020-04-23
89.1169,Bagalakote,2020-04-24
89.1978,Bagalakote,2020-04-25
88.6737,Bagalakote,2020-04-26
87.819,Bagalakote,2020-04-27
86.8034,Bagalakote,2020-04-28
85.7302,Bagalakote,2020-04-29
84.6608,Bagalakote,2020-04-30
83.6305,Bagalakote,2020-05-01
82.6584,Bagalakote,2020-05-02
81.7534,Bagalakote,2020-05-03
80.9182,Bagalakote,2020-05-04
80.1521,Bagalakote,2020-05-05
79.4523,Bagalakote,2020-05-06
78.9821,Bagalakote,2020-05-07
78.8035,Bagalakote,2020-05-08
78.808,Bagalakote,2020-05-09
78.9266,Bagalakote,2020-05-10
79.1156,Bagalakote,2020-05-11
79.3471,Bagalakote,2020-05-12
79.6034,Bagalakote,2020-05-13
79.8733,Bagalakote,2020-05-14
80.1497,Bagalakote,2020-05-15
80.4281,Bagalakote,2020-05-16
80.7058,Bagalakote,2020-05-17
80.98100000000002,Bagalakote,2020-05-18
81.2525,Bagalakote,2020-05-19
81.9499,Bagalakote,2020-05-20
83.4277,Bagalakote,2020-05-21
85.6537,Bagalakote,2020-05-22
88.1972,Bagalakote,2020-05-23
90.7027,Bagalakote,2020-05-24
93.2645,Bagalakote,2020-05-25
95.9497,Bagalakote,2020-05-26
98.809,Bagalakote,2020-05-27
101.928,Bagalakote,2020-05-28
105.37700000000001,Bagalakote,2020-05-29
109.18299999999999,Bagalakote,2020-05-30
113.376,Bagalakote,2020-05-31
117.993,Bagalakote,2020-06-01
123.073,Bagalakote,2020-06-02
128.662,Bagalakote,2020-06-03
134.811,Bagalakote,2020-06-04
141.571,Bagalakote,2020-06-05
149.003,Bagalakote,2020-06-06
157.174,Bagalakote,2020-06-07
166.169,Bagalakote,2020-06-08
176.079,Bagalakote,2020-06-09
187.48,Bagalakote,2020-06-10
200.882,Bagalakote,2020-06-11
216.356,Bagalakote,2020-06-12
234.051,Bagalakote,2020-06-13
254.178,Bagalakote,2020-06-14
277.004,Bagalakote,2020-06-15
302.849,Bagalakote,2020-06-16
332.083,Bagalakote,2020-06-17
365.22,Bagalakote,2020-06-18
404.624,Bagalakote,2020-06-19
452.532,Bagalakote,2020-06-20
509.70300000000003,Bagalakote,2020-06-21
577.264,Bagalakote,2020-06-22
648.294,Bagalakote,2020-06-23
717.3610000000001,Bagalakote,2020-06-24
786.995,Bagalakote,2020-06-25
858.959,Bagalakote,2020-06-26
934.2739999999999,Bagalakote,2020-06-27
1008.18,Bagalakote,2020-06-28
1066.87,Bagalakote,2020-06-29
1084.21,Bagalakote,2020-06-30
1059.08,Bagalakote,2020-07-01
1018.68,Bagalakote,2020-07-02
1000.59,Bagalakote,2020-07-03
1017.83,Bagalakote,2020-07-04
1059.92,Bagalakote,2020-07-05
1120.48,Bagalakote,2020-07-06
1195.72,Bagalakote,2020-07-07
1283.6,Bagalakote,2020-07-08
1383.14,Bagalakote,2020-07-09
1490.01,Bagalakote,2020-07-10
1601.94,Bagalakote,2020-07-11
1721.08,Bagalakote,2020-07-12
1849.17,Bagalakote,2020-07-13
1952.37,Bagalakote,2020-07-14
2039.56,Bagalakote,2020-07-15
2137.51,Bagalakote,2020-07-16
2238.94,Bagalakote,2020-07-17
2339.94,Bagalakote,2020-07-18
2438.42,Bagalakote,2020-07-19
2533.36,Bagalakote,2020-07-20
2624.27,Bagalakote,2020-07-21
2737.56,Bagalakote,2020-07-22
2894.09,Bagalakote,2020-07-23
3043.67,Bagalakote,2020-07-24
3155.26,Bagalakote,2020-07-25
3243.04,Bagalakote,2020-07-26
3324.42,Bagalakote,2020-07-27
3409.03,Bagalakote,2020-07-28
3495.46,Bagalakote,2020-07-29
3582.91,Bagalakote,2020-07-30
3670.83,Bagalakote,2020-07-31
3758.92,Bagalakote,2020-08-01
3846.98,Bagalakote,2020-08-02
3934.91,Bagalakote,2020-08-03
4022.66,Bagalakote,2020-08-04
4110.09,Bagalakote,2020-08-05
4197.16,Bagalakote,2020-08-06
4283.87,Bagalakote,2020-08-07
4372.01,Bagalakote,2020-08-08
4463.36,Bagalakote,2020-08-09
4558.04,Bagalakote,2020-08-10
4656.16,Bagalakote,2020-08-11
4757.84,Bagalakote,2020-08-12
4863.2,Bagalakote,2020-08-13
4972.38,Bagalakote,2020-08-14
5085.51,Bagalakote,2020-08-15
5202.73,Bagalakote,2020-08-16
5324.18,Bagalakote,2020-08-17
5449.97,Bagalakote,2020-08-18
5580.22,Bagalakote,2020-08-19
5701.98,Bagalakote,2020-08-20
5808.38,Bagalakote,2020-08-21
5905.87,Bagalakote,2020-08-22
5998.59,Bagalakote,2020-08-23
6091.01,Bagalakote,2020-08-24
